['132205', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.57', '-0.50']
['132231', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.55', '-0.50']
['132257', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['132283', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.60', '-0.50']
['132309', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.54', '-0.50']
['132335', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.50', '-0.50']
['132361', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.55', '-0.50']
['132387', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.48', '-0.50']
['132413', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.44', '-0.50']
['132439', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.41', '-0.50']
['132465', '0.03', '-57.20', '0.00', '0.00', '0.77', '-6.35', '-0.50']
['132491', '0.03', '-57.20', '0.00', '0.00', '0.77', '-6.34', '-0.50']
['132517', '0.03', '-57.20', '0.00', '0.00', '0.77', '-6.37', '-0.50']
['132543', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.38', '-0.50']
['132569', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.45', '-0.50']
['132595', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.56', '-0.50']
['132621', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.60', '-0.50']
['132647', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['132673', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.48', '-0.50']
['132699', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.51', '-0.50']
['132725', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.50', '-0.50']
['132751', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.53', '-0.50']
['132777', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.57', '-0.50']
['132803', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.56', '-0.50']
['132829', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.51', '-0.50']
['132855', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.49', '-0.50']
['132881', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.54', '-0.50']
['132907', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.50', '-0.50']
['132933', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.45', '-0.50']
['132959', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.52', '-0.50']
['132985', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.54', '-0.50']
['133011', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.45', '-0.50']
['133037', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.39', '-0.50']
['133063', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.38', '-0.50']
['133089', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
